Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1q74TesvRCIo5RvJM5B84F,"She Is Love","Losing Sleep","Parachute",2009-01-01,146066,0,false,quirky613,2026-06-25T23:12:58Z,"indie,indie rock","Universal Music Group",0.629,0.174,6,-9.697,1,0.141,0.616,0,0.118,0.305,134.297,1
spotify:track:6S3cCgcePjIurF8pT2XWPP,"Robotic","Hannah Georgas","Hannah Georgas",2012-01-01,238360,0,false,quirky613,2026-06-25T23:14:00Z,"","Dine Alone Music",0.534,0.894,2,-4.694,1,0.0413,0.013,0.33,0.111,0.408,136.948,4
spotify:track:0FuTx2s3YH1ppmtiM6l0zI,"September Song","September Song","JP Cooper",2016-09-16,220290,1,false,quirky613,2026-06-25T23:14:54Z,"soft pop","Universal Music Group",0.623,0.654,0,-5.675,0,0.0372,0.0545,0,0.0838,0.401,95.921,4
spotify:track:4Sqc0kPuZpfI0T2TZBu8JT,"Grace Kelly","Life In Cartoon Motion","MIKA",2007-01-01,187733,1,false,quirky613,2026-06-25T23:15:43Z,"","Universal Music Group",0.676,0.824,0,-5.752,1,0.0449,0.0271,0.0152,0.363,0.696,122.221,4
spotify:track:28lhqsjWoj6S71vCFq0vR0,"Stay (I Missed You) - Storytellers","VH1 Storytellers","Lisa Loeb",2000-01-01,188220,22,false,quirky613,2026-06-25T23:22:54Z,"","Interscope",0.441,0.628,1,-7.349,1,0.486,0.797,0,0.723,0.586,161.982,4
spotify:track:0jlgrHvssAloyAidZ1aJzs,"Stay","The Very Best Of","Lisa Loeb & Nine Stories",2006-01-01,184333,0,false,quirky613,2026-06-25T23:22:54Z,"","Universal Strategic Marketing",0.67,0.607,1,-6.827,1,0.0496,0.475,0,0.126,0.375,80.396,4
spotify:track:7IHOIqZUUInxjVkko181PB,"Stay With Me","In The Lonely Hour (Deluxe Edition)","Sam Smith",2014-01-01,172723,1,false,quirky613,2026-06-25T23:23:05Z,"","Universal Music Ltd.",0.5,0.418,0,-6.535,1,0.0377,0.566,0.000193,0.11,0.176,84.899,4
spotify:track:0OuG227KS6LNr8k4aIsYbu,"Good Days (Acoustic Instrumental)","Acoustic Instrumentals, Vol. 14","JustAcoustic",2021-05-05,257851,43,false,quirky613,2026-06-25T23:42:30Z,"","JustAcoustic",0.486,0.199,2,-18.773,1,0.0394,0.869,0.941,0.0915,0.181,120.955,4
spotify:track:5yJaXWIErrrsjQ3J0eR5aK,"The Night We Met","Strange Trails","Lord Huron",2015-04-07,208226,92,false,quirky613,2026-06-25T23:44:53Z,"singer-songwriter,folk rock","Lord Huron",0.44,0.378,2,-9.545,1,0.045,0.968,0.272,0.639,0.105,174.121,3
spotify:track:0TFTAtCYhp2tQ9KcJIZb55,"undressed","I Barely Know Her","sombr",2025-08-22,182088,88,false,quirky613,2026-06-25T23:45:40Z,"bedroom pop","Warner Records",0.642,0.887,0,-3.883,1,0.0406,0.137,0,0.0829,0.888,115.999,4
spotify:track:5MhMXTuVODDF234VDvSxQx,"Awake","Awake","Tycho",2014-03-18,283636,64,false,quirky613,2026-06-25T23:48:01Z,"","Ghostly International",0.552,0.877,1,-5.765,1,0.0353,0.0585,0.899,0.0746,0.597,176.05,4
