Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6tJ5EnAku4gDSGIcv1vGgS,"Love Direction","Love Direction","The Dip",2024-07-12,223240,52,false,quirky613,2026-06-25T23:04:36Z,"retro soul","Dualtone Music Group",0.428,0.599,8,-6.862,0,0.0475,0.383,0.0000674,0.242,0.625,152.9,4
spotify:track:3Ej9sSGWylmCgzS8Kxa9fL,"Run With Me","Revelries","Humming House",2015-03-23,196274,0,false,quirky613,2026-06-25T23:14:11Z,"blues,country blues,classic blues","Rock Ridge Music",0.592,0.842,2,-4.971,1,0.0447,0.0172,0.0000221,0.0808,0.162,120.998,4
spotify:track:4LTOzL6JsnQBifmpsbo9a5,"September Song - Guitar Acoustic","September Song (Guitar Acoustic)","JP Cooper",2016-10-14,212152,0,false,quirky613,2026-06-25T23:15:02Z,"anti-folk","Island Records",0.41,0.428,0,-7.927,0,0.0329,0.359,0,0.138,0.526,88.361,4
spotify:track:4Ur6FsAx02UEi9ktQzcPRU,"Long Way From Home","The House That Dirt Built","The Heavy",2009-10-05,198986,0,false,quirky613,2026-06-25T23:16:01Z,"","Counter Records",0.48,0.561,9,-4.257,0,0.0279,0.0696,0,0.0787,0.753,103.621,4
spotify:track:0xLoYaRyQxTDR7kNIo69B3,"From Afar","Dream Your Life Away","Vance Joy",2014-09-08,262200,41,false,quirky613,2026-06-25T23:16:11Z,"","F-Stop Records/Atlantic",0.327,0.412,0,-8.511,1,0.029,0.489,0.00000772,0.308,0.173,86.419,4
spotify:track:6Fha6tXHkL3r9m9nNqQG8p,"Georgia","Dream Your Life Away","Vance Joy",2014-09-08,230506,57,false,quirky613,2026-06-25T23:16:21Z,"","F-Stop Records/Atlantic",0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,4
spotify:track:5RMjO7UAJUybWAwZ4t2wKz,"Bubbly - Acoustic","Coco - Summer Sessions","Colbie Caillat",2008-01-01,216720,54,false,quirky613,2026-06-25T23:24:20Z,"soft pop","Universal Records",0.647,0.0985,9,-12.071,1,0.0619,0.908,0,0.098,0.321,115.089,4
spotify:track:601913bnwOH19HblKXMr2d,"A Face To Call Home","Born and Raised","John Mayer",2012-05-21,286466,49,false,quirky613,2026-06-25T23:35:27Z,"indie folk,folk pop","Columbia",0.529,0.375,2,-10.59,1,0.0247,0.305,0.0000329,0.0861,0.275,136.071,4
spotify:track:47cepBs1tTBtFQsYIlCuea,"Dream A Little Dream Of Me","Mama's Big Ones'","The Mamas & The Papas",1973-01-01,192840,0,false,quirky613,2026-06-25T23:36:24Z,"bluegrass,folk pop","Universal Special Markets",0.424,0.251,7,-16.305,1,0.049,0.854,0.00000135,0.132,0.372,133.793,4
spotify:track:1BlQWQgGP84r4GYUVty4Ar,"Mess","Busyhead","Noah Kahan",2019-06-14,213320,72,true,quirky613,2026-06-25T23:44:12Z,"folk rock,singer-songwriter,soft rock","Republic Records",0.442,0.826,10,-5.32,1,0.0775,0.176,0,0.0978,0.601,80.848,4
spotify:track:0MUXBhPUDF8or0kfQ0EHwV,"Rein Me In (with Olivia Dean)","People Watching (Deluxe Edition)","Sam Fender;Olivia Dean",2025-12-05,339893,89,true,quirky613,2026-06-25T23:45:08Z,"","Polydor Records",0.502,0.815,1,-5.6,0,0.0397,0.0376,0.000119,0.36,0.55,124.026,4
spotify:track:2U15ix0JMkQY8EsxneUfyL,"You’re Gonna Go Far (with Brandi Carlile)","Stick Season (Forever)","Noah Kahan;Brandi Carlile",2024-02-09,286369,62,true,quirky613,2026-06-25T23:45:20Z,"folk rock,singer-songwriter,soft rock,southern gothic","Mercury Records/Republic Records",0.561,0.384,7,-9.904,1,0.0292,0.577,0,0.111,0.353,169.986,4
spotify:track:5jtuNQWGByEkBzBUlN4rWS,"X Gon' Give It To Ya - 1950s Soul","X Gon' Give It To Ya (1950s Soul)","19s Soulers",2025-11-19,166533,66,true,quirky613,2026-06-25T23:47:19Z,"","Oscilune",0.547,0.479,6,-12.183,1,0.442,0.469,0,0.109,0.637,80.809,4
spotify:track:2iFJksThouznfkT0094RK2,"Someday We Will Dream About Today","Someday We Will Dream About Today","The Sways",2025-08-15,180000,75,false,quirky613,2026-06-25T23:47:40Z,"","The Sways",0.691,0.522,7,-9.509,1,0.0322,0.27,0.0044,0.102,0.778,126.034,4
spotify:track:4T6FWA703h6H7zk1FoSARw,"New Light","Sob Rock","John Mayer",2021-07-16,217426,80,false,quirky613,2026-06-25T23:52:58Z,"indie folk,folk pop","Columbia",0.826,0.694,7,-7.862,1,0.0315,0.316,0.0285,0.074,0.852,123.932,4
spotify:track:5ddXMXmXZ2FN4iliTG20nO,"Emoji of a Wave","The Search for Everything","John Mayer",2017-04-14,239666,53,false,quirky613,2026-06-25T23:52:58Z,"indie folk,folk pop","Columbia",0.494,0.365,11,-8.92,1,0.0279,0.772,0.000961,0.139,0.191,165.764,4
