Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7C6ir299MoDWqtuECZWh7Q,"Heartbreak Hotel","Lilo & Stitch","Elvis Presley",2002-01-01,133533,0,false,quirky613,2026-06-25T23:08:24Z,"baroque pop","Walt Disney Records",0.7,0.205,4,-12.492,1,0.103,0.889,0.00434,0.372,0.644,92.817,4
spotify:track:6RrXd9Hph4hYR4bf3dbM6H,"My Girl","The Temptations Sing Smokey","The Temptations",1965-01-01,165000,0,false,quirky613,2026-06-25T23:10:10Z,"","Universal Music Group",0.572,0.418,0,-10.738,1,0.0349,0.635,0,0.0961,0.694,104.566,4
spotify:track:1LaGFtGh2yoBipaCdqJeRU,"Build Me Up Buttercup","Build Me Up Buttercup (The Complete Pye Collection)","The Foundations",1968,178226,0,false,quirky613,2026-06-25T23:10:21Z,"doo-wop","Sanctuary",0.631,0.681,0,-4.729,1,0.028,0.192,0,0.308,0.868,66.914,4
spotify:track:27K3ZDS5B4fwjhwyihrdzC,"(What A) Wonderful World - Remastered","The Wonderful World Of Sam Cooke (Remastered)","Sam Cooke",1960,125506,0,false,quirky613,2026-06-25T23:10:34Z,"classic rock","Keen Records",0.524,0.543,11,-9.889,1,0.0397,0.734,0,0.275,0.877,128.091,4
spotify:track:0OhpOmbSSSlNROas9zGP7N,"More Than A Woman - 2007 Remastered Version Saturday Night Fever","Saturday Night Fever [The Original Movie Soundtrack]","Tavares",1978-01-05,197306,0,false,quirky613,2026-06-25T23:13:26Z,"art rock,soft rock","Bee Gees/Reprise",0.629,0.915,4,-4.181,1,0.0729,0.157,0,0.142,0.757,108.95,4
spotify:track:2M55R2A9IAhLdsCGFj8r8k,"I'm Every Woman","Epiphany: The Best of Chaka Khan, Vol. 1","Chaka Khan",1996-11-08,249600,57,false,quirky613,2026-06-25T23:18:19Z,"","Reprise",0.603,0.886,0,-7.301,0,0.0465,0.0418,0.000171,0.295,0.727,114.045,4
spotify:track:3GNNIvSOLX4jE8pyqkCrWQ,"O-O-H Child","Shining '70s (Best Of '70s Easy Rock)","The Five Stairsteps",2000-07-05,195733,0,false,quirky613,2026-06-25T23:22:29Z,"classic rock,southern rock,country rock","Metacom Music",0.511,0.66,10,-9.052,0,0.0385,0.00629,0.00000831,0.606,0.709,88.816,4
spotify:track:0NWPxcsf5vdjdiFUI8NgkP,"Hey Joe","Are You Experienced","Jimi Hendrix",1967-05-12,210160,70,false,quirky613,2026-06-25T23:23:44Z,"","Legacy Recordings",0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,4
spotify:track:3h4K2yGUE0RcQsiEoBVmfc,"One Summer Night","The Best Vintage Valentine Ever!","The Danleers",2011-03-15,133537,0,false,quirky613,2026-06-25T23:23:57Z,"jazz,cool jazz,vocal jazz,jazz ballads","X5 Music Group",0.527,0.483,9,-3.984,1,0.0295,0.864,0,0.108,0.524,99.088,3
spotify:track:3v9xlH6BpmRbqL7hgNJhfT,"I Get Around (Mono)","All Summer Long (Mono & Stereo)","The Beach Boys",1964-07-13,134386,69,false,quirky613,2026-06-25T23:24:35Z,"classic rock","Capitol Records",0.389,0.626,9,-7.813,0,0.0541,0.366,0,0.0663,0.514,144.337,4
