Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:086Gay8xxH36AfPQQii2er,"Big Girls Don't Cry (Personal)","The Dutchess (Explicit Version)","Fergie",2006-01-01,268120,0,false,quirky613,2026-06-25T23:09:05Z,"","Universal Music Group",0.708,0.641,7,-4.271,1,0.0336,0.205,0,0.0925,0.253,113.082,4
spotify:track:5N4EONedI3jGNyI5ac4JFK,"Heart Of Glass (12"" Version)","Heart Of Glass","Blondie;L.O.C",1979-01-03,350866,0,false,quirky613,2026-06-25T23:13:40Z,"art pop,pop","Chrysalis Inc",0.661,0.629,9,-7.797,1,0.043,0.00662,0.0164,0.0459,0.69,114.976,4
spotify:track:6qOEjO2IUD7PjtpsXawq0d,"Girl on Fire","Girl on Fire","Alicia Keys",2012-09-04,224920,2,false,quirky613,2026-06-25T23:16:38Z,"","RCA Records Label",0.482,0.706,9,-5.762,1,0.0609,0.135,0.00106,0.105,0.144,92.494,4
spotify:track:1KK0AkECJmxXlJetTYS3xE,"I Really Like You","E·mo·tion (Deluxe)","Carly Rae Jepsen",2015-08-21,204772,0,false,quirky613,2026-06-25T23:18:03Z,"","604 Records",0.622,0.808,5,-4.701,1,0.0418,0.00543,0.0000563,0.215,0.599,122.121,4
spotify:track:0ZPeq1LMR2zzWSV9VnhmYm,"Crazy","Patsy Cline Showcase With The Jordanaires","Patsy Cline;The Jordanaires",1988-01-01,164573,0,false,quirky613,2026-06-25T23:34:02Z,"soul,motown,classic soul","Universal Special Markets",0.52,0.0223,10,-24.106,1,0.0342,0.938,0.00000177,0.105,0.401,70.714,3
spotify:track:7uuEfUMuPeQ7RlSWa0cES2,"Can’t Help Falling in Love","Crazy Rich Asians (Original Motion Picture Soundtrack)","Kina Grannis",2018-08-10,201933,0,false,quirky613,2026-06-25T23:34:48Z,"","WaterTower Music",0.266,0.0596,0,-18.515,1,0.0363,0.905,0.0000707,0.132,0.143,181.74,3
spotify:track:7eYzn1CuiJK6VvUhf8zA6k,"WHERE IS MY HUSBAND!","THIS MUSIC MAY CONTAIN HOPE.","RAYE",2026-03-27,197142,90,false,quirky613,2026-06-25T23:43:36Z,"","Human Re Sources",0.39,0.781,8,-7.04,1,0.0918,0.0599,0,0.14,0.628,115.939,4
spotify:track:5mHdCZtVyb4DcJw8799hZp,"Escapism.","My 21st Century Blues","RAYE;070 Shake",2023-02-03,272373,83,true,quirky613,2026-06-25T23:43:36Z,"","Human Re Sources",0.538,0.742,2,-5.355,1,0.114,0.138,0.0000467,0.0934,0.25,96.107,4
spotify:track:4H0vNUFcHPz5lytcLjwqkr,"Rich","HERO (Deluxe Edition)","Maren Morris",2017-03-17,208893,59,false,quirky613,2026-06-25T23:44:06Z,"aor","Columbia Nashville",0.565,0.855,5,-4.189,1,0.0557,0.0445,0,0.32,0.852,74.98,4
spotify:track:7gtG45ieyQzKtNKobfLd49,"American Girls","Kiss All The Time. Disco, Occasionally.","Harry Styles",2026-03-06,213440,92,false,quirky613,2026-06-25T23:44:22Z,"","Columbia",0.584,0.659,1,-6.838,1,0.0381,0.0128,0.0000839,0.0776,0.288,101.4,4
