Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:75vEuMA15pb8JmgrGugHEs,"Eenie Meenie","My World 2.0","Justin Bieber;Sean Kingston",2010-01-01,202626,5,false,quirky613,2026-06-25T23:05:35Z,"","RBMG/Def Jam",0.718,0.588,1,-4.192,1,0.0318,0.0525,0,0.0991,0.812,121.22,4
spotify:track:4E5P1XyAFtrjpiIxkydly4,"Replay","Replay","Iyaz",2009-08-18,182306,87,false,quirky613,2026-06-25T23:08:08Z,"","Time Is Money/Beluga Heights/Reprise",0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4
spotify:track:3HVr6jTVwBHBa2flM0eURR,"Glorious (feat. Skylar Grey)","Glorious (feat. Skylar Grey)","Macklemore;Skylar Grey",2017-06-15,220454,3,true,quirky613,2026-06-25T23:20:14Z,"","Bendo LLC",0.731,0.794,0,-5.126,0,0.0522,0.0323,0.0000259,0.112,0.356,139.994,4
spotify:track:0AKejOKlGdiB53QpwAeenO,"Don't Wanna Know","Don't Wanna Know","Maroon 5;Kendrick Lamar",2016-10-11,214480,2,false,quirky613,2026-06-25T23:20:51Z,"jazz funk,funk,soul jazz,acid jazz","Interscope Records",0.777,0.627,7,-6.142,1,0.0792,0.356,0,0.0956,0.444,100.054,4
spotify:track:3EVooCKm9XbvXsfgjhGDAB,"I'm Gonna Show You Crazy","I Don't Wanna Grow Up","Bebe Rexha",2015-05-12,207775,47,true,quirky613,2026-06-25T23:20:56Z,"indie soul","Warner Records",0.474,0.537,2,-6.77,1,0.0649,0.0758,0,0.316,0.335,90.103,4
spotify:track:2LFEAXVwSf9ykTDPu4etrg,"Sweet Beginnings","I Don't Wanna Grow Up","Bebe Rexha",2015-05-12,230733,38,false,quirky613,2026-06-25T23:20:56Z,"indie soul","Warner Records",0.612,0.663,0,-4.486,1,0.038,0.0333,0,0.235,0.466,95.979,4
spotify:track:0GNI8K3VATWBABQFAzBAYe,"Stay","Unapologetic (Deluxe)","Rihanna;Mikky Ekko",2012-12-11,240706,77,false,quirky613,2026-06-25T23:22:46Z,"old school hip hop,east coast hip hop","Def Jam Recordings",0.621,0.31,9,-10.164,0,0.0283,0.945,0.0000612,0.117,0.125,111.881,4
spotify:track:1o4XQ7tYJrDxgEpJufbOI8,"Stay The Night - Featuring Hayley Williams Of Paramore","Clarity (Deluxe)","Zedd;Hayley Williams",2012,217346,1,false,quirky613,2026-06-25T23:23:02Z,"pop","Universal Music Group",0.595,0.736,8,-3.115,1,0.0406,0.116,0,0.0931,0.506,127.956,4
spotify:track:4H7WNRErSbONkM06blBoGc,"Stay","beerbongs & bentleys","Post Malone",2018-04-27,204426,72,true,quirky613,2026-06-25T23:23:16Z,"","Republic Records",0.506,0.48,5,-5.418,1,0.0266,0.449,0,0.147,0.351,86.042,4
spotify:track:5IZc3KIVFhjzJ0L2kiXzUl,"Promise (feat. Fetty Wap)","Summer In The Winter","Kid Ink;Fetty Wap",2015-12-25,224236,66,true,quirky613,2026-06-25T23:24:57Z,"rap,melodic rap,trap","Tha Alumni Music Group/88 Classic/RCA Records",0.797,0.469,8,-8.112,1,0.0646,0.0599,0,0.0753,0.481,103.057,4
spotify:track:18uwL0vNUanqZH0ro2QcOP,"comethru","summer,","Jeremy Zucker",2018-09-28,181613,75,false,quirky613,2026-06-25T23:25:01Z,"","Republic Records",0.796,0.178,0,-11.991,1,0.0572,0.607,0,0.623,0.608,93.976,4
spotify:track:2dBwB667LHQkLhdYlwLUZK,"Summertime Sadness","Born To Die - The Paradise Edition","Lana Del Rey",2012-11-12,265427,69,false,quirky613,2026-06-25T23:25:53Z,"rap,hip hop","Polydor Records",0.565,0.654,1,-6.826,0,0.0335,0.0542,0.0000018,0.122,0.235,111.968,4
spotify:track:1nagrEJxg2Tayyy7p2MnKY,"Crazy","Move in Spectrums","Au Revoir Simone",2013-09-24,178226,20,false,quirky613,2026-06-25T23:34:14Z,"old school hip hop","Instant Records",0.509,0.71,1,-5.451,1,0.0293,0.00249,0.0024,0.133,0.473,174.962,4
spotify:track:1IIKrJVP1C9N7iPtG6eOsK,"Go Crazy","Slime & B","Chris Brown;Young Thug",2020-05-08,176960,79,true,quirky613,2026-06-25T23:34:53Z,"hip hop,west coast hip hop","Chris Brown Entertainment/300 Entertainment/RCA Records",0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148,4
spotify:track:4soAFeob6xqOncRsPwa9wx,"Dark Paradise","Born To Die","Lana Del Rey",2012-01-30,243173,41,false,quirky613,2026-06-25T23:35:37Z,"rap,hip hop","Urban",0.585,0.644,4,-8.346,1,0.0604,0.113,0,0.181,0.406,120.017,4
spotify:track:7IVukH71OXfAu3KudrrizN,"Japanese Denim","Get You - Single","Daniel Caesar",2016-10-21,270556,84,true,quirky613,2026-06-25T23:42:42Z,"","HV Recordings",0.721,0.227,3,-8.293,1,0.0377,0.13,0.00000611,0.0748,0.366,124.036,3
spotify:track:5pfJsMwoRYKampPay8amX0,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","This Unruly Mess I've Made","Macklemore & Ryan Lewis;Macklemore;Ryan Lewis;Grandmaster Melle Mel;Grandmaster Caz;Kool Moe Dee;Eric Nally",2016-02-26,292593,69,true,quirky613,2026-06-25T23:43:00Z,"r&b","Macklemore",0.828,0.609,1,-4.402,1,0.0694,0.0916,0.00000121,0.291,0.707,109.725,4
