Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:295SjpauXeiDEY8bY1bLUX,"Bored to Death","California","blink-182",2016-07-01,235613,39,false,quirky613,2026-06-25T23:04:50Z,"indie,indie rock","BMG Rights Management (US) LLC",0.503,0.966,0,-3.876,1,0.0944,0.00572,0.00000155,0.117,0.638,159.95,4
spotify:track:48w23eUUSD88z3xpetzOoE,"If You Could Only See","Lemon Parade","Tonic",1996-07-15,261533,0,false,quirky613,2026-06-25T23:12:16Z,"alternative rock","Polydor",0.443,0.935,10,-5.087,0,0.0409,0.00217,0,0.217,0.56,95.149,4
spotify:track:4AmJpaF86079ZjFVVYhFbJ,"One Headlight","Bringing Down The Horse","The Wallflowers",1996-01-01,312587,1,false,quirky613,2026-06-25T23:12:32Z,"punk,hardcore punk,skate punk","Interscope",0.702,0.539,2,-8.968,1,0.0277,0.000655,0.005,0.0618,0.752,107.531,4
spotify:track:5RbjZdW8vLZQJpRAZwNIdX,"Superman (It's Not Easy)","Smallville: The Talon Mix","Five For Fighting",2003-02-25,221173,0,false,quirky613,2026-06-25T23:13:13Z,"","Atlantic Records/ATG",0.518,0.474,0,-8.34,1,0.0287,0.322,0,0.1,0.164,106.512,4
spotify:track:5s5t0OFg9lIlBFaCI14K1i,"She Will Be Loved","Songs About Jane","Maroon 5",2002-06-25,257133,2,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Universal Music Group",0.524,0.711,0,-5.494,0,0.0405,0.0567,0,0.134,0.539,203.867,4
spotify:track:6KBYk8OFtod7brGuZ3Y67q,"Misery","Hands All Over (Deluxe)","Maroon 5",2010,216200,68,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.704,0.81,4,-4.874,0,0.0425,0.000315,0,0.216,0.726,102.98,4
spotify:track:2TRuBFYZYw0Q7qIVBhqR1T,"Give A Little More","Hands All Over (Deluxe)","Maroon 5",2010,180293,46,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.753,0.824,0,-4.301,1,0.0385,0.000937,0.00018,0.141,0.937,117.95,4
spotify:track:7zmJyZL3DfYBBYbY8Rve6W,"Stutter","Hands All Over (Deluxe)","Maroon 5",2010,196920,43,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.711,0.882,1,-2.772,0,0.0333,0.0171,0,0.111,0.813,119.991,4
spotify:track:6aevoawMg1c8ZEeGbUUXsK,"Don't Know Nothing","Hands All Over (Deluxe)","Maroon 5",2010,199066,32,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.656,0.848,9,-3.125,0,0.0258,0.0149,0,0.135,0.859,129.995,4
spotify:track:4ucLHLiSjvkCz5Lr5dlVUj,"Never Gonna Leave This Bed","Hands All Over (Deluxe)","Maroon 5",2010,196706,57,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.609,0.81,11,-4.207,1,0.0296,0.11,0,0.246,0.47,117.364,4
spotify:track:6foVDdLislZ2e0Z9a69mPo,"I Can't Lie","Hands All Over (Deluxe)","Maroon 5",2010,211200,48,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.625,0.872,2,-4.89,1,0.0327,0.0257,0,0.168,0.961,90.979,4
spotify:track:1B8KtgxuqcPkG5ZjaS2cuA,"Hands All Over","Hands All Over (Deluxe)","Maroon 5",2010,192853,34,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.651,0.791,5,-4.703,0,0.0398,0.00904,0,0.104,0.725,86.453,4
spotify:track:76W81ivWk9jhpHVykGaS9s,"How","Hands All Over (Deluxe)","Maroon 5",2010,216600,38,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.534,0.693,4,-4.548,1,0.0263,0.121,0,0.335,0.385,92.98,4
spotify:track:2t2CoOfwakFAexhvMmWtTb,"Just A Feeling","Hands All Over (Deluxe)","Maroon 5",2010,226506,50,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.603,0.618,3,-5.098,1,0.0284,0.147,0,0.105,0.295,149.955,4
spotify:track:3Xn9RDEH7KCfA6xpTMCvxf,"No Curtain Call","Hands All Over (Deluxe)","Maroon 5",2010,224720,28,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.519,0.804,10,-4.976,0,0.0268,0.00117,0,0.106,0.348,168.059,4
spotify:track:1lHXlGlve5Zx8tXLhyjDwM,"Makes Me Wonder","It Won't Be Soon Before Long.","Maroon 5",2007-01-01,211080,66,true,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.803,0.852,7,-2.429,1,0.0357,0.00484,0.000331,0.0576,0.878,113.998,4
spotify:track:1zqllQUMCgMaInr0CzFVll,"Wake Up Call","It Won't Be Soon Before Long.","Maroon 5",2007-01-01,201306,61,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.631,0.949,4,-2.671,0,0.0593,0.0302,0,0.0871,0.968,164.11,4
spotify:track:0Bw6iiL5mYvq5I8VCaspqG,"Goodnight Goodnight","It Won't Be Soon Before Long.","Maroon 5",2007-01-01,243306,45,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.587,0.701,2,-3.77,1,0.0258,0.0358,0,0.183,0.273,94.977,4
spotify:track:1UvGv4XWZrVDrxbGKJfA0p,"Back At Your Door","It Won't Be Soon Before Long.","Maroon 5",2007-01-01,226826,39,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.647,0.623,3,-3.417,1,0.0262,0.0198,0,0.224,0.317,111.999,3
spotify:track:6tVrmsbI5HVDgOlFSTrQjB,"Lucky Strike","Overexposed","Maroon 5",2021-06-20,185280,49,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.674,0.74,11,-4.517,0,0.0419,0.000637,0,0.111,0.431,143.994,4
spotify:track:2RjpDxBii8EvC6p6wxwCSz,"Harder To Breathe","Songs About Jane","Maroon 5",2002-06-25,173693,58,true,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.661,0.907,1,-4.764,0,0.0448,0.0497,0,0.0508,0.967,149.928,4
spotify:track:2QAcGZOKjrQW0UL1YxO3Aa,"Kiwi","It Won't Be Soon Before Long.","Maroon 5",2007-01-01,214546,35,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.74,0.874,9,-4.47,0,0.0992,0.0384,0.00634,0.901,0.709,141.989,4
spotify:track:4gbVRS8gloEluzf0GzDOFc,"Maps","V","Maroon 5",2014-09-02,189960,87,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,4
spotify:track:2b8fOow8UzyDFAE27YhOZM,"Memories","Memories","Maroon 5",2019-09-20,189486,38,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","222 Records/Interscope Records",0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,4
spotify:track:4T5cqerbDXueYSVfXkIITo,"Sunday Morning","Songs About Jane","Maroon 5",2002-06-25,244866,0,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Universal Music Group",0.604,0.761,0,-5.227,1,0.0468,0.0756,0,0.062,0.787,88.04,4
spotify:track:0tuyEYTaqLxE41yGHSsXjy,"Won't Go Home Without You","It Won't Be Soon Before Long.","Maroon 5",2007-01-01,231173,72,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.738,0.614,3,-3.761,1,0.0318,0.0151,0,0.104,0.413,110.021,4
spotify:track:6YgV0EF8xJMZz0Zm6BTaT4,"This Love","Songs About Jane","Maroon 5",2002-06-25,206200,65,false,quirky613,2026-06-25T23:21:45Z,"classic rock,rock","Interscope Records*",0.712,0.862,5,-4.612,0,0.0378,0.0519,0,0.093,0.808,95.051,4
spotify:track:5dR0d2a4czJTua7k1daBoz,"Stay Home","Shrek","Self",2001-01-01,208133,46,false,quirky613,2026-06-25T23:23:13Z,"classic rock,rock,hard rock,rock and roll","Geffen",0.683,0.852,10,-5.639,0,0.049,0.0011,0,0.275,0.767,107.801,4
spotify:track:4hIY051enSBBJ5fzZUzTSU,"How You Love Me Now","Hold On Tight","Hey Monday",2008-10-07,197760,51,false,quirky613,2026-06-25T23:23:35Z,"","Decaydance/Columbia",0.393,0.965,5,-2.078,1,0.0734,0.00912,0,0.385,0.37,134.919,4
spotify:track:0akM7cwQ5xLQIIlTeWzubk,"Boomerang","Legendary","The Summer Set",2013-04-15,209732,52,false,quirky613,2026-06-25T23:24:08Z,"garage rock","Fearless Records",0.646,0.926,6,-2.531,0,0.15,0.0452,0,0.2,0.797,93.998,4
spotify:track:257caBaHKvXjaI4fl2j5sd,"Brilliant Nights","Sounds Like Summer","President Sam",2017-02-20,196970,1,false,quirky613,2026-06-25T23:24:24Z,"pop punk,emo","President Sam",0.397,0.904,6,-2.54,1,0.0624,0.00217,0,0.333,0.58,144.975,4
spotify:track:18FfCC3IPMeCIHV37WQu6f,"Cigarette Song","Sounds Like Summer","President Sam",2017-02-20,205501,0,false,quirky613,2026-06-25T23:24:24Z,"pop punk,emo","President Sam",0.372,0.957,2,-2.345,1,0.0692,0.00801,0.00000103,0.0808,0.647,168.07,4
spotify:track:6IOyNKuxVFhxqmevyHbPuy,"Dark Romances","Sounds Like Summer","President Sam",2017-02-20,213319,0,false,quirky613,2026-06-25T23:24:24Z,"pop punk,emo","President Sam",0.329,0.966,2,-2.14,1,0.0894,0.00104,0.0000327,0.312,0.497,179.896,4
spotify:track:05843aheEdvkMb30QEqzvI,"Government","Sounds Like Summer","President Sam",2017-02-20,171902,0,false,quirky613,2026-06-25T23:24:24Z,"pop punk,emo","President Sam",0.379,0.951,9,-2.927,1,0.0514,0.000286,0.0000106,0.0467,0.487,162.831,4
spotify:track:3sS1RycVF6AVRS2w2s5W9n,"Pipeline","Bitchin' Summer","Agent Orange",1982-06-18,234600,0,false,quirky613,2026-06-25T23:24:49Z,"pop punk,punk,emo","Posh Boy Music",0.197,0.993,4,-7.731,1,0.06,0.00102,0.838,0.323,0.603,179.544,4
spotify:track:1fZhHANKVFNZ9W8iSh76gF,"Stolen","Dusk And Summer","Dashboard Confessional",2006,199106,54,false,quirky613,2026-06-25T23:25:15Z,"","Vagrant Records DC",0.636,0.838,3,-3.988,1,0.0329,0.00143,0.0000122,0.0573,0.318,101.584,4
spotify:track:5muZnnuTjpDdawudJ6XGND,"Cruel Summer","Cruel Summer","Versus Me",2019-10-14,187764,42,false,quirky613,2026-06-25T23:25:20Z,"","Versus Me",0.407,0.971,1,-3.043,1,0.0814,0.000108,0.0000158,0.315,0.554,169.98,4
spotify:track:2dLrkKiddmHEYAQ7fUwfxw,"Summer Elaine and Drunk Dori","Weezer (White Album)","Weezer",2016-04-01,205426,41,false,quirky613,2026-06-25T23:25:47Z,"pop punk","Crush Music/Atlantic",0.558,0.838,11,-6.224,1,0.0464,0.00174,0.0000227,0.102,0.716,122.073,4
spotify:track:4mUt2M3Y4YiQrNJZY9TrOX,"Where I Want To Be","Reach For The Sun","The Dangerous Summer",2009-05-05,218906,0,false,quirky613,2026-06-25T23:25:59Z,"","Hopeless Records",0.456,0.916,9,-4.007,1,0.0771,0.00122,0,0.256,0.569,138.036,4
spotify:track:4Yx9Tw9dTgQ8eGCq3PRDyn,"Raining Blood","Reign In Blood (Expanded)","Slayer",1986-01-01,255186,1,false,quirky613,2026-06-25T23:26:18Z,"pop","Universal Music Group",0.301,0.995,1,-4.394,0,0.159,0.000417,0.295,0.125,0.0374,88.15,4
spotify:track:2ASdjt0HFIRCtq3ZR2J8ab,"The Sound","Covers, Vol. 1","CrazyEightyEight",2017-05-19,210250,25,false,quirky613,2026-06-25T23:34:21Z,"","Boketo Media",0.465,0.98,9,-4.006,1,0.0658,0.0000804,0.00000335,0.173,0.501,140.006,4
spotify:track:2b9lp5A6CqSzwOrBfAFhof,"Crazy Train","Blizzard of Ozz (Expanded Edition)","Ozzy Osbourne",1980-09-20,296200,8,false,quirky613,2026-06-25T23:34:37Z,"post-grunge","Epic/Legacy",0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,4
spotify:track:3QMjwqdebXaghN56pGVrn9,"Shinebox","Shinebox","CrazyEightyEight",2018-01-26,239128,36,false,quirky613,2026-06-25T23:34:37Z,"","Boketo Media",0.377,0.974,2,-7.02,0,0.221,0.000275,0.00428,0.305,0.147,179.926,4
spotify:track:4BggEwLhGfrbrl7JBhC8EC,"Butterfly","The Gift Of Game","Crazy Town",2000-12-15,216733,77,false,quirky613,2026-06-25T23:34:37Z,"thrash metal,metal,speed metal,heavy metal,groove metal,death metal","Columbia",0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,4
spotify:track:74irxdVWstNlEQjsvArITq,"Crazy","Get A Grip","Aerosmith",1993-01-01,316693,4,false,quirky613,2026-06-25T23:34:37Z,"emo","Aerosmith P&D - Geffen",0.37,0.866,6,-3.879,0,0.0384,0.0868,0,0.137,0.427,162.086,3
