Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:05hqW7A1I64QOGd8PbSmHM,"We Go Together - From “Grease” Soundtrack","Grease (Deluxe Edition)","John Travolta;Olivia Newton-John",2003-01-01,179613,0,false,quirky613,2026-06-25T23:05:48Z,"reggae rock,reggae","Universal Strategic Marketing",0.715,0.885,5,-7.136,1,0.199,0.173,0,0.723,0.773,111.148,4
spotify:track:7jQBORjiir0pNSKGaHevq9,"Mambo No. 5 (A Little Bit of...)","A Little Bit Of Mambo","Lou Bega",1999-08-24,220133,2,false,quirky613,2026-06-25T23:05:56Z,"","RCA Records Label",0.611,0.831,5,-5.394,0,0.394,0.0972,0,0.308,0.915,174.245,4
spotify:track:1u0l8zWpQeMYStFkc2mLD7,"Everywhere","The Spirit Room","Michelle Branch",2001-07-31,214826,73,false,quirky613,2026-06-25T23:08:47Z,"colombian pop,latin alternative,latin indie","Maverick",0.523,0.828,1,-4.696,1,0.0762,0.0136,0.000255,0.165,0.476,96.952,4
spotify:track:0ngr6YFEU5y2RaYNYLqO9R,"The Show","Lenka","Lenka",2008-09-22,235693,0,false,quirky613,2026-06-25T23:09:17Z,"reggae,dancehall,roots reggae,ragga,reggae rock","Epic",0.753,0.59,0,-4.144,1,0.0317,0.259,0,0.0836,0.593,123.028,4
spotify:track:4hjuUelurEBKlqpJPJ77Iw,"Pocketful of Sunshine","Strip Me Away","Natasha Bedingfield",2008,203440,71,false,quirky613,2026-06-25T23:09:33Z,"","Phonogenic",0.726,0.881,9,-3.892,0,0.0391,0.203,0,0.108,0.682,110.019,4
spotify:track:2ze7s5CrESggiWA3RpDYIy,"I'm Like A Bird","Whoa, Nelly! (Special Edition)","Nelly Furtado",2008-01-01,243160,0,false,quirky613,2026-06-25T23:09:43Z,"","Universal Music Group",0.622,0.616,10,-5.107,1,0.0349,0.147,0.00000387,0.218,0.598,89.673,4
spotify:track:6XXCvIN94wOQBnyfcx8q3I,"#Beautiful","#Beautiful","Mariah Carey;Miguel",2013-01-01,202640,0,false,quirky613,2026-06-25T23:09:56Z,"","Island Records",0.669,0.731,4,-7.347,1,0.0385,0.467,0.0000228,0.174,0.481,107.015,4
spotify:track:3vqlZUIT3rEmLaYKDBfb4Q,"Isn't She Lovely","Songs In The Key Of Life","Stevie Wonder",1976-09-28,394266,0,false,quirky613,2026-06-25T23:10:49Z,"musicals","Universal/Island Def Jam",0.485,0.82,1,-6.887,0,0.0953,0.18,0.00411,0.328,0.817,118.643,4
spotify:track:1QzFhzIOW7CyRJLpmq5CM0,"Counting Stars","Native","OneRepublic",2014-01-01,257386,62,false,quirky613,2026-06-25T23:12:45Z,"","Mosley / Interscope",0.663,0.705,1,-4.972,0,0.0385,0.0654,0,0.117,0.477,122.014,4
spotify:track:7MapZTlRqFfUteNcghsTwf,"Keep Your Head Up","Andy Grammer","Andy Grammer",2011-01-01,190480,0,false,quirky613,2026-06-25T23:17:10Z,"malaysian pop","S-Curve Records",0.666,0.78,7,-5.177,1,0.0404,0.044,0,0.128,0.795,90.004,4
spotify:track:7tg0OrYieTMcQmxIczNMqE,"Fine By Me","Andy Grammer","Andy Grammer",2011-01-01,172813,0,false,quirky613,2026-06-25T23:17:10Z,"malaysian pop","S-Curve Records",0.603,0.801,11,-4.095,1,0.0326,0.00975,0,0.0443,0.863,89.998,4
spotify:track:6eZ3Fy4Md1brG1Ar40XSGV,"You Should Know Better","Andy Grammer","Andy Grammer",2011-01-01,203080,0,false,quirky613,2026-06-25T23:17:10Z,"malaysian pop","S-Curve Records",0.567,0.746,11,-5.392,1,0.0266,0.000317,0,0.189,0.143,130,4
spotify:track:2eNKMWy0n3ODbZXEh9PCop,"Lunatic","Andy Grammer","Andy Grammer",2011-01-01,183520,0,false,quirky613,2026-06-25T23:17:10Z,"malaysian pop","S-Curve Records",0.626,0.838,1,-4.894,0,0.0419,0.00139,0,0.0793,0.675,100.051,4
spotify:track:4aKYsWm1bmFLbyCugDAAp2,"Miss Me","Andy Grammer","Andy Grammer",2011-01-01,221080,0,false,quirky613,2026-06-25T23:17:10Z,"malaysian pop","S-Curve Records",0.524,0.784,11,-4.043,1,0.0281,0.00152,0,0.164,0.244,98.938,4
spotify:track:1EdJgierYBwC6uAac2UhhG,"Build Me A Girl","Andy Grammer","Andy Grammer",2011-01-01,191773,0,false,quirky613,2026-06-25T23:17:10Z,"malaysian pop","S-Curve Records",0.704,0.659,10,-6.789,1,0.0606,0.36,0,0.0974,0.325,94.993,4
spotify:track:5o2gcPyZj4ElSyDc7bWJvg,"Biggest Man in Los Angeles","Andy Grammer","Andy Grammer",2011-01-01,235573,0,false,quirky613,2026-06-25T23:17:10Z,"malaysian pop","S-Curve Records",0.699,0.688,9,-6.975,0,0.0509,0.124,0,0.412,0.582,99.012,4
spotify:track:1P49MJhU5vzttesFxw3dOM,"Three Little Birds","Exodus","Bob Marley & The Wailers",1977-01-01,180266,2,false,quirky613,2026-06-25T23:17:42Z,"","Universal/Island Def Jam",0.807,0.487,9,-10.456,1,0.0758,0.0102,0.00000198,0.0501,0.651,148.491,4
spotify:track:4xT2AOtQPjtyQgPmnygsx4,"Jamming","Exodus 30th Anniversary Edition","Bob Marley & The Wailers",1977-06-03,214973,0,false,quirky613,2026-06-25T23:17:42Z,"","Island Records",0.934,0.4,11,-14.834,0,0.328,0.381,0.0000418,0.103,0.805,123.696,4
spotify:track:4OsZ1vrenrtSbqLJxOceKl,"One Love / People Get Ready","Exodus (Deluxe Edition)","Bob Marley & The Wailers",1977-01-01,172933,0,false,quirky613,2026-06-25T23:17:42Z,"","Island Records",0.725,0.523,10,-9.593,1,0.324,0.0783,0,0.0665,0.95,76.292,4
spotify:track:61dXuN3VyqGOyOeMfJXIPh,"Could You Be Loved","Uprising","Bob Marley & The Wailers",1980,237000,1,false,quirky613,2026-06-25T23:17:42Z,"","Island Records",0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,4
spotify:track:1QQfbfMfyzNZhT5fg3RpuS,"Buffalo Soldier","Confrontation","Bob Marley & The Wailers",1983,257440,0,false,quirky613,2026-06-25T23:17:42Z,"","Island Records",0.932,0.462,9,-8.664,1,0.284,0.137,0.00000791,0.0653,0.749,124.122,4
spotify:track:5NNFP3f9nTKsEuVwKlWYZc,"Come Around","Collie Buddz","Collie Buddz",2006,221506,56,false,quirky613,2026-06-25T23:18:35Z,"bluegrass","Columbia",0.496,0.786,1,-6.05,0,0.318,0.014,0,0.639,0.731,153.448,4
spotify:track:1K4GmEkkeNhtPFbuKoVbqF,"Blind to You","Collie Buddz","Collie Buddz",2006,227733,53,true,quirky613,2026-06-25T23:18:45Z,"bluegrass","Columbia",0.624,0.873,9,-4.355,1,0.407,0.0291,0,0.0371,0.718,155.624,4
spotify:track:7BXJKrUhH5Z61kMf4LDIMr,"Gimmie Love","The Biggest Reggae One Drop Anthems 2008","Collie Buddz",2008-10-13,222520,37,false,quirky613,2026-06-25T23:18:45Z,"bluegrass","Greensleeves Records",0.611,0.683,10,-7.502,1,0.334,0.0391,0,0.419,0.593,81.226,4
spotify:track:2SlngbIWKyovaxloh78mqG,"Get Back To Me","Time Bomb","Iration",2010,192813,0,false,quirky613,2026-06-25T23:19:02Z,"","3 Prong Records",0.716,0.645,7,-5.51,1,0.0353,0.0188,0.0000679,0.142,0.821,74.061,4
spotify:track:0aKS7uUfHdYlVcYHiZLfHg,"Wait and See (Album Version)","Time Bomb","Iration",2010-03-16,220173,42,false,quirky613,2026-06-25T23:19:15Z,"","Three Prong Records under exclusive license from Iration Holdings",0.667,0.742,1,-6.331,0,0.0321,0.0113,0.0000127,0.228,0.873,146.018,4
spotify:track:247Mh3oug3G8u1rMy8YC1c,"Let Me Inside","Time Bomb","Iration",2010,299680,0,false,quirky613,2026-06-25T23:19:15Z,"","3 Prong Records",0.645,0.761,0,-6.592,1,0.0421,0.00669,0.00000104,0.659,0.809,74.483,4
spotify:track:0IgUWRQZie6GS7jtLPKlTU,"Falling","Time Bomb","Iration",2010,240760,0,false,quirky613,2026-06-25T23:19:15Z,"","3 Prong Records",0.799,0.416,7,-9.547,1,0.0428,0.00765,0.00000207,0.122,0.818,125.01,4
spotify:track:28dMnO6vZNXeMNiW2V5sHW,"Turn Around","Time Bomb","Iration",2010,231346,0,false,quirky613,2026-06-25T23:19:15Z,"","3 Prong Records",0.687,0.7,8,-6.439,1,0.03,0.00144,0.0000635,0.13,0.963,103.946,4
spotify:track:6M7R9BK3Etvt0UNhbHoQlR,"Time Bomb","Time Bomb","Iration",2010,190693,0,false,quirky613,2026-06-25T23:19:15Z,"","3 Prong Records",0.754,0.59,4,-6.525,0,0.046,0.192,0,0.11,0.784,147.107,4
spotify:track:7hZW3cbGT0q0xTFqvemfLl,"American Dream","MKTO","MKTO",2014,225746,0,false,quirky613,2026-06-25T23:22:08Z,"","Columbia/M2V",0.554,0.767,0,-5.043,1,0.0497,0.114,0,0.231,0.497,122.846,4
spotify:track:17xbKoCF5iDcSb9usFt2yO,"Closer To The Sun","Closer To The Sun","Slightly Stoopid",2005,145560,0,false,quirky613,2026-06-25T23:22:18Z,"reggae en español,bachata","Reincarnate Music",0.562,0.728,7,-5.492,1,0.0275,0.199,0.00405,0.252,0.521,75.266,4
spotify:track:4h4QlmocP3IuwYEj2j14p8,"Sunroof","Sunroof","Nicky Youre;hey daisy",2021-12-03,163025,10,false,quirky613,2026-06-25T23:23:40Z,"soft pop","Columbia",0.768,0.714,10,-5.11,1,0.0401,0.352,0,0.15,0.842,131.443,4
spotify:track:2U8ZitirBjtIPAZ6rzydMF,"My Sweet Summer","Sound Of Change","Dirty Heads",2014-07-08,202906,0,false,quirky613,2026-06-25T23:24:39Z,"","Five Seven Music",0.495,0.787,5,-5.166,0,0.188,0.153,0,0.367,0.564,188.014,4
spotify:track:3AAY8YicetRPlDAkibHLiS,"Jaded","Endless Summer Vacation","Miley Cyrus",2023-03-10,185933,1,true,quirky613,2026-06-25T23:25:34Z,"","Columbia",0.496,0.593,4,-5.154,1,0.0285,0.0476,0,0.0909,0.177,91.038,4
spotify:track:7DSAEUvxU8FajXtRloy8M0,"Flowers","Endless Summer Vacation","Miley Cyrus",2023-08-18,200600,89,false,quirky613,2026-06-25T23:25:34Z,"","Columbia",0.706,0.691,0,-4.775,1,0.0633,0.0584,0.0000699,0.0232,0.632,118.048,4
spotify:track:3hqXUcu06ajELPBS3uhCD1,"Summer Lovin'","Summer Lovin'","The Tuesday Crew",2018-06-22,241243,49,false,quirky613,2026-06-25T23:25:43Z,"r&b","The Tuesday Crew",0.796,0.331,0,-9.903,1,0.0521,0.194,0,0.159,0.632,137.968,4
spotify:track:6xAjAocTRpKamQlCy50RRQ,"Dream a Little Dream of Me","Zee Avi's Nightlight","Zee Avi",2014-04-22,111842,47,false,quirky613,2026-06-25T23:36:14Z,"reggaeton,trap latino,latin,urbano latino","Little Monster Records",0.555,0.0879,0,-12.141,1,0.0477,0.968,0,0.096,0.428,84.174,4
spotify:track:7z53EPrmLWYYiUEJnGZYZq,"Crayola Doesn't Make a Color for Your Eyes","Kiss Me Hello","Kristin Andreassen",2007-01-09,214746,34,false,quirky613,2026-06-25T23:43:48Z,"","Yellowcar Music",0.922,0.491,10,-9.376,0,0.0942,0.101,0,0.0527,0.95,126.163,4
spotify:track:5efvxYn0J1q8iuIZBqpDD7,"Lowlife","Bubblebath","Poppy",2016-06-10,205693,55,true,quirky613,2026-06-25T23:43:53Z,"motown,classic soul,soul","Island Records",0.634,0.832,11,-3.879,0,0.0463,0.0815,0,0.429,0.772,145.966,4
spotify:track:7Ld6hA2qsLEXPn39FfuHwb,"Fly Love","Rio: Music From The Motion Picture","Jamie Foxx",2011-01-01,159000,66,false,quirky613,2026-06-25T23:44:37Z,"","Will I Am / A&M",0.596,0.287,7,-12.618,1,0.0335,0.791,0.0000444,0.0865,0.349,115.209,4
spotify:track:5reQI13tWWYDLMrGcUF4Mk,"Nuestra Canción","Caja de Música","Monsieur Periné;Vicente Garcia",2015-06-16,260079,70,false,quirky613,2026-06-25T23:46:39Z,"","Monsieur Perine",0.906,0.731,6,-7.021,0,0.0977,0.426,0.00000455,0.0853,0.794,106.995,4
spotify:track:0HMjXBAZmSYOTTi33WpMso,"History","Made In The A.M. (Deluxe Edition)","One Direction",2015-11-13,187421,73,false,quirky613,2026-06-25T23:46:54Z,"","Syco Music",0.655,0.697,11,-4.421,1,0.0493,0.0359,0,0.0646,0.802,86.704,4
spotify:track:3NLnwwAQbbFKcEcV8hDItk,"Perfect","Made In The A.M. (Deluxe Edition)","One Direction",2015-11-13,230341,84,false,quirky613,2026-06-25T23:47:00Z,"","Syco Music",0.648,0.822,11,-5.231,0,0.0749,0.0598,0,0.119,0.397,99.933,4
spotify:track:34aYkYrY3sXhEU9O4VQgtB,"Fireproof","FOUR (Deluxe)","One Direction",2014-11-17,174072,70,false,quirky613,2026-06-25T23:47:00Z,"","Syco Music",0.681,0.864,3,-3.276,1,0.0301,0.00477,0,0.122,0.921,132.929,4
spotify:track:4lxaurdMyGkt1tOrdwRoVO,"Little Black Dress","Midnight Memories (Deluxe)","One Direction",2013-11-25,157653,60,false,quirky613,2026-06-25T23:47:00Z,"","Syco Music",0.63,0.881,4,-3.506,1,0.0433,0.000467,0,0.0405,0.54,121.468,4
spotify:track:3sK8wGT43QFpWrvNQsrQya,"DtMF","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,237117,97,true,quirky613,2026-06-25T23:48:16Z,"","Rimas Entertainment LLC.",0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
spotify:track:6b8Be6ljOzmkOmFslEb23P,"24K Magic","24K Magic","Bruno Mars",2016-11-18,225983,87,false,quirky613,2026-06-25T23:48:29Z,"","Atlantic Records",0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,4
spotify:track:5uLKMMCmkKJQrNnb3LbyBF,"Crazy but True - EP Version","Coast to Coast","Cody Simpson",2011-09-20,236880,22,false,quirky613,2026-06-25T23:50:14Z,"","Atlantic Records",0.717,0.803,8,-5.109,1,0.028,0.122,0,0.0345,0.656,135.989,4
